rownames,PredictGroup,PredictDate,PredictValue,PredictValue_StdPlus,PredictValue_StdMinus,PredictValue_StdPlus2,PredictValue_StdMinus2,PredictMessage
420B06|ABMS53,420B06|ABMS,2015-12-28,37.75268541515038,37.622761863538884,32.24936635757494,40.04087365062516,29.83125457048867,XGB
420B06|ABMS54,420B06|ABMS,2016-01-04,19.37524070290192,28.569502362224203,19.592300829114347,32.60938307045949,15.552420120879061,XGB
420B06|ABMS55,420B06|ABMS,2016-01-11,24.14553765756773,24.14346532254057,24.057757415208478,24.182035217635065,24.019187520113984,XGB
420B06|ABMS56,420B06|ABMS,2016-01-18,21.09642902288465,21.415652691837987,21.10396532459548,21.555916868517045,20.963701147916424,XGB
420B06|ABMS57,420B06|ABMS,2016-01-25,20.308933954940926,20.308799303435762,20.303230368598747,20.31130541097167,20.30072426106284,XGB
420B06|ABMS58,420B06|ABMS,2016-02-01,37.417238772192604,37.67243742809913,37.423263557489435,37.78456955626398,37.31113142932458,XGB
420B06|ABMS59,420B06|ABMS,2016-02-08,26.109122188041738,38.446132339433305,26.400377003248124,43.86691011960184,20.97959922307959,XGB
420B06|ABMS60,420B06|ABMS,2016-02-15,43.62615920557914,44.316743454967,43.642462668531,44.62018032569,43.339025797808006,XGB
420B06|ABMS61,420B06|ABMS,2016-02-22,23.201502867587124,23.367390028528305,23.20541916771269,23.44027944217151,23.132529754069488,XGB
420B06|ABMS62,420B06|ABMS,2016-02-29,33.922788173096706,33.81942565981654,29.544545105399447,35.74318858505602,27.620782180159964,XGB
420B06|ABMS63,420B06|ABMS,2016-03-07,21.52791065560291,21.546469682869354,21.528348801149566,21.554624362276513,21.520194121742406,XGB
420B06|ABMS64,420B06|ABMS,2016-03-14,27.622623278097535,27.613685537227255,27.244037263068023,27.78003302604107,27.077689774254207,XGB
420B06|ABMS65,420B06|ABMS,2016-03-21,22.019027960039352,22.308060575434926,22.02585150480041,22.435059058864365,21.89885302137097,XGB
