rownames,ME,RMSE,MAE,MPE,MAPE,MASE,ACF1,PredictGroup,PredictMessage
420B06|ABMS,-2.6698407676233273,5.5072585611469185,4.816829572951747,-0.0984092544658145,0.1597517917609122,-0,-0,420B06|ABMS,XGB
420B06|ADAMS,-0.15627613355627545,0.17911115617838252,0.15627613355627545,-1e38,1e38,-0,-0,420B06|ADAMS,XGB
420B06|AJAX,0,0,0,0,0,0,0,420B06|AJAX,XGB
420B06|ARCRAFT,6.547745606834496,14.433316156713731,12.862645246909096,0.06112806645560274,0.1410635049375597,0,0,420B06|ARCRAFT,XGB
420B06|BAMABUD,0.49825972075905156,0.8762862397195046,0.7208431345243298,0.015197969886533325,0.021744540879629744,0,0,420B06|BAMABUD,XGB
420B06|BEERCO,1.3798929109606775,1.387321522274098,1.3798929109606775,0.19712755870866822,0.19712755870866822,0,0,420B06|BEERCO,XGB
420B06|BEKEITH,0,0,0,0,0,0,0,420B06|BEKEITH,XGB
420B06|BEVSTH,20.773257895892698,23.198561298869365,20.773257895892698,0.16310102627310386,0.16310102627310386,0,0,420B06|BEVSTH,XGB
420B06|BFDOH,-0.30435834936469064,4.128294387002069,4.11705969606038,-0.24136145889556626,0.4955415486752789,-0,-0,420B06|BFDOH,XGB
420B06|BIRMBUD,7.706139866321905,13.019365781843462,10.493774045695886,0.09586287467604493,0.13746935496520882,0,0,420B06|BIRMBUD,XGB
420B06|BLITTLE,2.264490764557479,2.7853640433962124,2.264490764557479,0.17868572443568365,0.17868572443568365,0,0,420B06|BLITTLE,XGB
420B06|BNBRIGHT,-0.0010016384748041673,0.0014165307156627552,0.0010016384748041673,0,0,-0,-0,420B06|BNBRIGHT,XGB
420B06|BOBHALL,-5.73754012863651,8.272350801410498,5.9592299044325046,-0.28942344304569845,0.2954150586077523,-0,-0,420B06|BOBHALL,XGB
420B06|BRKHRDT,15.369924873878858,21.214493294128314,15.369924873878858,0.17368710023100345,0.17368710023100345,0,0,420B06|BRKHRDT,XGB
420B06|BROWNOH,2.2884766277708763,2.5032861868701826,2.2884766277708763,0.29743390243885515,0.29743390243885515,0,0,420B06|BROWNOH,XGB
420B06|BUDCHT,23.704486739888466,27.846010946649095,23.704486739888466,0.1884349595955921,0.1884349595955921,0,0,420B06|BUDCHT,XGB
420B06|BUQUET,1.1622721244143008,1.880232121648966,1.477970344793846,0.14912647025313877,0.22805102534802504,0,0,420B06|BUQUET,XGB
420B06|CARBRS,8.363691544095332,14.436299253420891,11.766707266246954,0.1057642789614163,0.17382459340444875,0,0,420B06|CARBRS,XGB
420B06|CARPRM,8.595409494814817,14.363126864865443,11.507317191798734,0.04280590401837443,0.058212823050035375,0,0,420B06|CARPRM,XGB
420B06|CARROLL,15.899102560376264,27.133037410220776,21.986820072013074,0.15685801242609934,0.27861236265883554,0,0,420B06|CARROLL,XGB
420B06|CHAMPGN,9.463778494686096,9.649796350203045,9.463778494686096,0.567866494730361,0.567866494730361,0,0,420B06|CHAMPGN,XGB
420B06|CHEROKE,-0.002908994566553247,0.004113939568889244,0.002908994566553247,0,0,-0,-0,420B06|CHEROKE,XGB
420B06|CITYBEV,17.401120595897737,43.11485075403173,39.447323832542224,0.039022355710548184,0.2839801694510425,0,0,420B06|CITYBEV,XGB
420B06|CITYBNC,4.249173594677586,20.730533779674786,20.290380838035844,-0.3231590250713089,0.7462547911525749,0,0,420B06|CITYBNC,XGB
420B06|COMER,14.36761369684757,18.216795051528177,14.36761369684757,0.2105514378713017,0.2105514378713017,0,0,420B06|COMER,XGB
420B06|CONEOCT,12.43482663050952,13.162330234266951,12.43482663050952,0.11176511354952479,0.11176511354952479,0,0,420B06|CONEOCT,XGB
420B06|CSTLBV,3.751041056082954,5.886713061727121,4.536858127238361,0.10572409087212974,0.1310730286513364,0,0,420B06|CSTLBV,XGB
420B06|DAYTONA,15.449902357109181,21.55895906141372,15.449902357109181,0.17843940243690712,0.17843940243690712,0,0,420B06|DAYTONA,XGB
420B06|DELPAPA,3.0423351599633293,3.046103710258332,3.0423351599633293,0.2897161984006258,0.2897161984006258,0,0,420B06|DELPAPA,XGB
420B06|DET,17.021559671160958,41.73524765006597,38.10639582502449,0.050798603105793844,0.17059880852547302,0,0,420B06|DET,XGB
420B06|EAGLKX,5.716457597353724,6.455502876732789,5.716457597353724,0.059017202812807194,0.059017202812807194,0,0,420B06|EAGLKX,XGB
420B06|EGLSHRV,1.2778375577270822,1.6199910495729841,1.2778375577270822,0.12452880729735075,0.12452880729735075,0,0,420B06|EGLSHRV,XGB
420B06|EMPIRE,11.465967246661421,14.263452894977796,11.465967246661421,0.1306891099622805,0.1306891099622805,0,0,420B06|EMPIRE,XGB
420B06|ESDMD,6.048176721339814,6.3493218919828855,6.048176721339814,0.2945444900629054,0.2945444900629054,0,0,420B06|ESDMD,XGB
420B06|FEB,8.23001937884544,9.43936040064892,8.23001937884544,0.29170793785570254,0.29170793785570254,0,0,420B06|FEB,XGB
